Geolocation,cpi_alcoholic_beverages_tobacco,cpi_clothing_footwear,cpi_education_services,cpi_financial_services,cpi_food_non-alcoholic_beverages,cpi_furnishings_household_equipment_routine_household_maintenance,cpi_health,cpi_housing_water_electricity_gas_other_fuels,cpi_information_communication,cpi_personal_care_miscellaneous_goods_services,cpi_recreation_sport_culture,cpi_restaurants_accommodation_services,cpi_transport,province_id
Abra,155.858333333333,108.366666666667,105.4,160.4,108.983333333333,110.75,115.258333333333,119.825,100.3,109.691666666667,113.866666666667,134.891666666667,123.933333333333,PH140100000
Agusan del Norte,167.291666666667,104.133333333333,111.8,146.0,115.141666666667,106.858333333333,121.45,111.033333333333,100.65,111.325,111.825,117.533333333333,118.633333333333,PH160200000
Agusan del Sur,152.516666666667,106.791666666667,120.35,138.1,112.891666666667,112.533333333333,109.3,116.191666666667,106.975,109.316666666667,114.733333333333,124.733333333333,127.183333333333,PH160300000
Aklan,151.783333333333,105.1,114.966666666667,145.5,108.491666666667,116.4,113.266666666667,122.258333333333,102.825,105.15,106.408333333333,109.841666666667,120.725,PH060400000
Albay,189.091666666667,123.775,123.766666666667,146.0,114.341666666667,121.275,122.716666666667,122.85,103.508333333333,115.083333333333,113.925,117.425,151.541666666667,PH050500000
Antique,162.825,111.016666666667,109.0,145.8,114.55,113.108333333333,115.65,117.808333333333,104.508333333333,109.616666666667,114.225,116.033333333333,123.341666666667,PH060600000
Apayao,147.408333333333,114.358333333333,109.4,146.0,108.85,113.975,113.433333333333,122.933333333333,102.575,114.241666666667,128.075,134.216666666667,130.366666666667,PH148100000
Aurora,161.4,118.958333333333,109.8,163.6,118.916666666667,115.016666666667,120.841666666667,122.508333333333,100.85,114.416666666667,118.241666666667,131.108333333333,127.241666666667,PH037700000
Basilan,135.6,108.558333333333,136.4,163.6,121.383333333333,110.45,105.508333333333,103.825,101.4,104.35,115.016666666667,134.366666666667,126.833333333333,PH150700000
Bataan,139.208333333333,115.8,114.283333333333,146.0,122.5,112.4,118.775,124.866666666667,103.233333333333,115.0,104.183333333333,118.008333333333,137.766666666667,PH030800000
Batanes,142.325,114.683333333333,125.5,146.0,118.541666666667,116.183333333333,114.833333333333,128.25,105.1,120.666666666667,123.891666666667,124.016666666667,112.775,PH020900000
Batangas,172.608333333333,109.475,108.866666666667,146.0,116.791666666667,112.833333333333,119.05,114.741666666667,103.025,109.316666666667,103.333333333333,122.733333333333,120.491666666667,PH041000000
Benguet,123.566666666667,113.125,105.633333333333,146.0,117.566666666667,108.933333333333,111.741666666667,110.95,103.15,114.625,107.058333333333,118.825,137.233333333333,PH141100000
Biliran,112.458333333333,108.825,108.8,162.4,113.85,109.808333333333,109.533333333333,114.958333333333,102.591666666667,103.575,104.958333333333,111.1,129.058333333333,PH087800000
Bohol,141.266666666667,105.091666666667,118.058333333333,145.4,108.7,114.341666666667,118.208333333333,114.466666666667,100.35,106.133333333333,99.9083333333333,112.741666666667,118.166666666667,PH071200000
Bukidnon,120.433333333333,106.175,101.033333333333,146.0,113.425,106.641666666667,111.241666666667,123.566666666667,101.5,108.775,107.783333333333,110.883333333333,122.725,PH101300000
Bulacan,173.25,104.983333333333,97.85,143.3,113.85,103.2,108.75,110.733333333333,100.425,105.408333333333,104.2,105.216666666667,117.841666666667,PH031400000
Cagayan,136.233333333333,115.633333333333,117.833333333333,146.0,112.775,110.2,119.558333333333,122.433333333333,103.233333333333,111.283333333333,114.675,105.7,131.15,PH021500000
Camarines Norte,165.583333333333,107.958333333333,109.166666666667,146.0,110.75,112.591666666667,120.783333333333,116.716666666667,100.758333333333,110.683333333333,111.7,130.2,151.175,PH051600000
Camarines Sur,170.866666666667,122.083333333333,104.191666666667,146.0,116.508333333333,112.15,115.441666666667,115.058333333333,100.0,116.808333333333,113.533333333333,123.216666666667,161.533333333333,PH051700000
Camiguin,126.366666666667,110.6,124.366666666667,100.0,116.566666666667,107.991666666667,119.041666666667,116.833333333333,101.375,112.108333333333,119.933333333333,119.683333333333,139.416666666667,PH101800000
Capiz,145.733333333333,110.816666666667,121.908333333333,146.0,116.566666666667,114.208333333333,122.041666666667,122.141666666667,101.4,110.775,105.625,108.975,129.966666666667,PH061900000
Catanduanes,178.975,122.225,114.891666666667,163.6,111.575,116.95,113.783333333333,109.125,107.108333333333,115.383333333333,116.141666666667,148.716666666667,160.891666666667,PH052000000
Cavite,151.458333333333,113.208333333333,106.941666666667,121.3,116.9,118.391666666667,128.983333333333,113.2,103.025,113.216666666667,109.891666666667,110.283333333333,120.683333333333,PH042100000
Cebu,129.966666666667,101.791666666667,103.633333333333,146.0,122.416666666667,113.925,109.75,106.408333333333,101.716666666667,107.925,100.133333333333,108.041666666667,112.233333333333,PH072200000
Cotabato,154.583333333333,112.0,102.816666666667,146.0,112.541666666667,117.258333333333,117.358333333333,122.516666666667,104.091666666667,115.025,107.758333333333,132.766666666667,141.733333333333,PH124700000
Davao Occidental,165.575,111.191666666667,108.9,148.2,109.908333333333,107.216666666667,111.908333333333,126.675,100.125,100.4,127.441666666667,116.625,119.033333333333,PH118600000
Davao Oriental,136.116666666667,116.891666666667,115.358333333333,146.0,113.575,111.3,114.083333333333,117.408333333333,103.4,121.25,130.441666666667,129.05,122.125,PH112500000
Davao de Oro,158.558333333333,120.616666666667,115.0,163.6,114.108333333333,119.266666666667,119.033333333333,124.225,103.691666666667,115.75,120.366666666667,111.683333333333,129.425,PH118200000
Davao del Norte,154.158333333333,107.15,105.883333333333,145.5,110.008333333333,110.95,121.508333333333,118.875,101.066666666667,111.525,108.075,104.175,128.066666666667,PH112300000
Davao del Sur,140.925,107.983333333333,104.025,145.9,117.375,111.016666666667,116.125,117.033333333333,107.275,110.625,108.983333333333,108.375,129.875,PH112400000
Dinagat Islands,150.575,125.783333333333,116.9,163.6,117.575,138.8,143.375,129.416666666667,104.366666666667,129.075,130.216666666667,133.625,139.625,PH168500000
Eastern Samar,137.791666666667,126.183333333333,100.391666666667,163.6,110.991666666667,119.983333333333,116.175,114.575,119.241666666667,115.508333333333,109.2,120.266666666667,119.108333333333,PH082600000
Guimaras,156.825,114.375,128.291666666667,163.6,116.2,120.5,115.325,110.233333333333,99.4833333333333,120.133333333333,136.633333333333,121.666666666667,149.766666666667,PH067900000
Ifugao,126.875,121.741666666667,108.566666666667,100.0,111.308333333333,112.008333333333,120.458333333333,119.566666666667,100.0,110.533333333333,118.616666666667,132.291666666667,130.05,PH142700000
Ilocos Norte,127.15,119.216666666667,107.133333333333,146.0,117.608333333333,106.691666666667,113.366666666667,123.316666666667,100.416666666667,118.558333333333,105.125,104.975,123.591666666667,PH012800000
Ilocos Sur,128.925,114.058333333333,107.45,146.0,116.716666666667,113.641666666667,118.858333333333,124.508333333333,100.708333333333,111.216666666667,104.9,126.983333333333,131.316666666667,PH012900000
Iloilo,153.783333333333,107.75,118.808333333333,146.0,109.083333333333,114.525,112.958333333333,97.925,102.608333333333,109.416666666667,112.433333333333,112.041666666667,122.55,PH063000000
Isabela,142.008333333333,110.391666666667,114.933333333333,146.0,114.741666666667,111.858333333333,113.916666666667,113.15,100.3,110.725,105.758333333333,124.883333333333,135.808333333333,PH023100000
Kalinga,160.116666666667,117.416666666667,123.633333333333,146.0,114.716666666667,121.866666666667,128.566666666667,112.35,101.85,112.991666666667,111.625,136.766666666667,122.916666666667,PH143200000
La Union,144.641666666667,107.708333333333,100.433333333333,145.5,112.566666666667,107.458333333333,108.3,105.358333333333,100.0,106.625,106.008333333333,106.075,119.4,PH013300000
Laguna,156.341666666667,103.0,107.483333333333,145.6,116.216666666667,104.966666666667,111.2,103.516666666667,100.475,109.683333333333,103.7,109.541666666667,131.166666666667,PH043400000
Lanao del Norte,137.091666666667,110.625,106.0,146.0,110.275,113.125,115.108333333333,119.916666666667,100.9,111.166666666667,113.566666666667,118.558333333333,135.683333333333,PH103500000
Lanao del Sur,123.966666666667,109.891666666667,105.0,163.6,110.291666666667,112.325,114.833333333333,117.783333333333,102.516666666667,113.35,117.333333333333,136.983333333333,120.516666666667,PH153600000
Leyte,111.416666666667,105.825,108.516666666667,146.0,118.95,107.758333333333,107.275,111.5,101.925,105.825,101.941666666667,116.041666666667,124.441666666667,PH083700000
Maguindanao,159.65,117.491666666667,109.216666666667,163.6,107.083333333333,111.7,112.075,105.333333333333,102.283333333333,116.108333333333,106.633333333333,115.116666666667,127.341666666667,PH153800000
Marinduque,162.891666666667,124.416666666667,101.608333333333,151.9,112.258333333333,122.3,126.058333333333,119.433333333333,108.283333333333,118.325,116.15,131.866666666667,147.883333333333,PH174000000
Masbate,147.125,130.108333333333,108.65,163.6,112.258333333333,118.625,127.7,114.083333333333,103.866666666667,116.325,124.691666666667,122.166666666667,150.5,PH054100000
Misamis Occidental,155.766666666667,108.95,105.1,146.0,115.075,109.425,118.633333333333,118.508333333333,110.341666666667,111.333333333333,102.966666666667,118.208333333333,134.825,PH104200000
Misamis Oriental,124.325,109.441666666667,102.85,145.8,116.1,110.666666666667,109.825,118.416666666667,102.058333333333,112.125,108.058333333333,124.633333333333,129.916666666667,PH104300000
Mountain Province,160.133333333333,116.3,105.091666666667,100.0,114.983333333333,124.6,108.433333333333,132.983333333333,99.6166666666667,115.475,106.25,146.7,127.908333333333,PH144400000
National Capital Region (NCR),132.858333333333,105.491666666667,110.083333333333,146.0,115.575,110.1,107.716666666667,108.041666666667,101.125,107.741666666667,103.325,113.533333333333,123.025,"PH133900000,PH137400000,PH137500000,PH137600000"
Negros Occidental,156.7,111.458333333333,112.225,145.8,121.608333333333,115.083333333333,125.716666666667,118.333333333333,122.983333333333,116.066666666667,106.183333333333,116.633333333333,137.941666666667,PH064500000
Negros Oriental,136.616666666667,103.791666666667,112.833333333333,141.3,112.233333333333,118.383333333333,110.008333333333,120.1,100.516666666667,104.558333333333,101.808333333333,101.716666666667,113.683333333333,PH074600000
Northern Samar,132.566666666667,112.4,104.058333333333,146.0,108.016666666667,104.991666666667,110.258333333333,134.941666666667,95.2166666666667,112.25,102.433333333333,140.891666666667,123.716666666667,PH084800000
Nueva Ecija,230.083333333333,109.025,106.108333333333,146.0,121.708333333333,105.691666666667,104.158333333333,116.608333333333,100.333333333333,106.65,105.758333333333,106.883333333333,128.366666666667,PH034900000
Nueva Vizcaya,144.358333333333,117.166666666667,110.766666666667,146.0,117.741666666667,119.716666666667,115.5,122.45,103.833333333333,113.291666666667,110.925,117.583333333333,132.275,PH025000000
Occidental Mindoro,180.633333333333,111.8,104.7,163.1,118.358333333333,118.108333333333,116.358333333333,124.991666666667,109.8,119.058333333333,121.55,123.766666666667,127.441666666667,PH175100000
Oriental Mindoro,195.758333333333,110.975,104.691666666667,145.0,110.25,107.791666666667,129.533333333333,142.033333333333,102.108333333333,115.2,116.716666666667,127.05,141.658333333333,PH175200000
Palawan,198.008333333333,130.033333333333,114.625,139.5,113.208333333333,123.616666666667,129.891666666667,108.95,99.5666666666667,121.05,121.891666666667,123.108333333333,123.358333333333,PH175300000
Pampanga,167.65,108.133333333333,111.158333333333,146.0,120.258333333333,108.241666666667,118.441666666667,116.241666666667,101.8,111.908333333333,106.891666666667,114.033333333333,127.858333333333,PH035400000
Pangasinan,150.583333333333,112.633333333333,114.791666666667,146.0,116.683333333333,108.475,114.175,115.458333333333,101.791666666667,109.358333333333,111.3,110.075,125.283333333333,PH015500000
Quezon,165.391666666667,107.475,109.533333333333,145.4,111.725,109.016666666667,113.983333333333,115.708333333333,100.4,108.133333333333,101.316666666667,106.683333333333,127.091666666667,PH045600000
Quirino,155.766666666667,117.983333333333,118.866666666667,160.0,114.5,116.258333333333,119.933333333333,123.341666666667,102.733333333333,110.858333333333,116.466666666667,130.266666666667,133.575,PH025700000
Rizal,166.875,110.85,106.458333333333,146.0,121.666666666667,112.625,115.65,107.291666666667,100.125,112.208333333333,112.108333333333,120.783333333333,133.441666666667,PH045800000
Romblon,154.916666666667,110.641666666667,101.5,100.0,118.841666666667,120.291666666667,121.808333333333,112.466666666667,107.441666666667,109.733333333333,108.666666666667,119.616666666667,134.7,PH175900000
Samar,140.9,107.975,112.383333333333,146.0,115.383333333333,123.133333333333,116.275,118.991666666667,97.6666666666667,108.825,104.333333333333,134.208333333333,145.016666666667,PH086000000
Sarangani,179.508333333333,117.233333333333,122.9,163.6,116.091666666667,113.808333333333,112.2,118.091666666667,106.85,112.05,118.733333333333,108.916666666667,145.966666666667,PH128000000
Siquijor,135.925,110.775,105.666666666667,162.8,116.641666666667,113.483333333333,113.966666666667,114.066666666667,100.0,104.525,98.225,117.116666666667,122.558333333333,PH076100000
Sorsogon,175.666666666667,114.233333333333,103.258333333333,146.0,112.875,114.333333333333,124.433333333333,131.041666666667,100.3,111.183333333333,106.125,115.441666666667,131.558333333333,PH056200000
South Cotabato,165.35,114.35,111.866666666667,145.4,106.908333333333,116.991666666667,134.908333333333,117.975,101.7,114.866666666667,109.333333333333,128.758333333333,128.566666666667,PH126300000
Southern Leyte,147.166666666667,101.933333333333,108.325,145.9,109.05,112.358333333333,110.458333333333,129.95,100.666666666667,109.833333333333,107.75,113.275,133.633333333333,PH086400000
Sultan Kudarat,174.35,112.525,110.466666666667,143.6,108.233333333333,112.866666666667,117.8,111.4,104.2,115.85,115.258333333333,122.966666666667,127.083333333333,PH126500000
Sulu,104.275,114.366666666667,105.866666666667,163.6,115.075,110.033333333333,113.758333333333,125.391666666667,96.9,118.858333333333,115.625,133.925,111.533333333333,PH156600000
Surigao del Norte,154.866666666667,104.966666666667,132.741666666667,146.0,111.033333333333,107.4,114.183333333333,139.158333333333,102.141666666667,114.45,113.625,116.608333333333,123.608333333333,PH166700000
Surigao del Sur,148.366666666667,103.958333333333,102.466666666667,146.0,110.175,116.633333333333,119.166666666667,118.408333333333,101.966666666667,110.808333333333,114.508333333333,121.175,135.583333333333,PH166800000
Tarlac,181.175,114.208333333333,100.008333333333,146.0,114.675,122.458333333333,118.608333333333,119.783333333333,105.041666666667,112.508333333333,117.066666666667,114.65,138.691666666667,PH036900000
Tawi-tawi,144.766666666667,109.683333333333,100.0,163.6,123.308333333333,111.191666666667,100.708333333333,112.516666666667,98.4333333333333,101.491666666667,103.558333333333,121.075,115.95,PH157000000
Zambales,171.033333333333,117.416666666667,107.041666666667,146.0,117.6,116.858333333333,118.75,135.1,102.483333333333,118.341666666667,112.7,123.533333333333,122.033333333333,PH037100000
Zamboanga Sibugay,130.758333333333,106.725,100.866666666667,163.6,108.0,117.941666666667,114.533333333333,118.233333333333,99.95,109.608333333333,107.841666666667,136.258333333333,115.975,PH098300000
Zamboanga del Norte,130.4,104.241666666667,113.95,141.4,113.341666666667,108.766666666667,111.366666666667,121.75,100.158333333333,105.591666666667,103.241666666667,107.366666666667,121.508333333333,PH097200000
Zamboanga del Sur,130.633333333333,106.391666666667,108.3,134.3,114.008333333333,111.075,109.35,119.808333333333,103.616666666667,107.183333333333,103.516666666667,114.2,125.016666666667,PH097300000
